alert_name,metric,alias,units,alert_message,Building Standard Name,Building Description,database,column,sort_column,num_entries,time_dependent,occupancy_status,condition,value,alert_type,message_ID
CO2_warning_Watt,IAQ,*,ppm,<alias> exceeds 1000 ppm.,WATT,Watt Family Innovation Center,CEVAC_WATT_IAQ_LATEST,ActualValue,UTCDateTime,1,1,1,>,1000,warning,1
CO2_alert_Watt,IAQ,*,ppm,<alias> exceeds 2000 ppm.,WATT,Watt Family Innovation Center,CEVAC_WATT_IAQ_LATEST,ActualValue,UTCDateTime,1,0,*,>,2000,alert,2
1st_Floor_Lights_Watt,POWER,1st Floor Lighting,kW,1st Floor Lights are on.,WATT,Watt Family Innovation Center,CEVAC_WATT_POWER_LATEST,ActualValue,UTCDateTime,1,1,0,>,1.3,alert,3
2nd_Floor_Lights_Watt,POWER,2nd Floor Lighting,kW,2nd Floor Lights are on.,WATT,Watt Family Innovation Center,CEVAC_WATT_POWER_LATEST,ActualValue,UTCDateTime,1,1,0,>,1.15,alert,4
3rd_Floor_Lights_Watt,POWER,3rd Floor Lighting,kW,3rd Floor Lights are on.,WATT,Watt Family Innovation Center,CEVAC_WATT_POWER_LATEST,ActualValue,UTCDateTime,1,1,0,>,1.35,alert,5
4th_Floor_Lights_Watt,POWER,4th Floor Lighting,kW,4th Floor Lights are on.,WATT,Watt Family Innovation Center,CEVAC_WATT_POWER_LATEST,ActualValue,UTCDateTime,1,1,0,>,1,alert,6
Media_Lights_Watt,POWER,Building Media Lights,kW,The Media Lights are on.,WATT,Watt Family Innovation Center,CEVAC_WATT_POWER_LATEST,ActualValue,UTCDateTime,1,1,0,>,1,alert,7
Temp_High_warning_Watt,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),WATT,Watt Family Innovation Center,CEVAC_WATT_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,>,<Cooling SP ActualValue>,warning,8
Temp_High_alert_Watt,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),WATT,Watt Family Innovation Center,CEVAC_WATT_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,>,<Cooling SP ActualValue>+3,alert,9
Temp_Low_warning_Watt,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),WATT,Watt Family Innovation Center,CEVAC_WATT_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,<,<Heating SP ActualValue>,warning,10
Temp_Low_alert_Watt,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),WATT,Watt Family Innovation Center,CEVAC_WATT_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,<,<Heating SP ActualValue> -3,alert,11
Building_Emergency_Power_alert_Watt,POWER,Building Emergency,kW,Building emergency power exceeds 80 kW.,WATT,Watt Family Innovation Center,CEVAC_WATT_POWER_LATEST,ActualValue,UTCDateTime,1,0,*,>,80,alert,12
Building_Power_Unoccupied_alert_Watt,POWER,*,kW,The building is unoccupied but is using a lot of power.,WATT,Watt Family Innovation Center,CEVAC_WATT_POWER_SUMS_LATEST,ActualValue,UTCDateTime,1,1,0,>,300,alert,13
Dead_Temp_sensor_alert_Watt,TEMP,*,deg-F,<alias> has not reported in <days> days. ,WATT,Watt Family Innovation Center,CEVAC_WATT_TEMP_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,14
Dead_Power_sensor_alert_Watt,POWER,*,kW,<alias> has not reported in <days> days. ,WATT,Watt Family Innovation Center,CEVAC_WATT_POWER_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,15
Dead_IAQ_sensor_alert_Watt,IAQ,*,ppm,<alias> has not reported in <days> days. ,WATT,Watt Family Innovation Center,CEVAC_WATT_IAQ_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,16
Dead_Temp_sensor_alert_ASC,TEMP,*,deg-F,<alias> has not reported in <days> days. ,ASC,Academic Success Center,CEVAC_ASC_TEMP_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,17
Dead_Power_sensor_alert_ASC,POWER,*,kW,<alias> has not reported in <days> days. ,ASC,Academic Success Center,CEVAC_ASC_POWER_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,18
Dead_IAQ_sensor_alert_ASC,IAQ,*,ppm,<alias> has not reported in <days> days. ,ASC,Academic Success Center,CEVAC_ASC_IAQ_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,19
Dead_Temp_sensor_alert_Cooper,TEMP,*,deg-F,<alias> has not reported in <days> days. ,COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_TEMP_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,20
Dead_Power_sensor_alert_Cooper,POWER,*,kW,<alias> has not reported in <days> days. ,COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_POWER_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,21
Dead_IAQ_sensor_alert_Cooper,IAQ,*,ppm,<alias> has not reported in <days> days. ,COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_IAQ_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,22
Dead_Temp_sensor_alert_Lee3,TEMP,*,deg-F,<alias> has not reported in <days> days. ,LEE_III,Lee III Hall,CEVAC_LEE_III_TEMP_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,23
Dead_Power_sensor_alert_Lee3,POWER,*,kW,<alias> has not reported in <days> days. ,LEE_III,Lee III Hall,CEVAC_LEE_III_POWER_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,24
Dead_IAQ_sensor_alert_Lee3,IAQ,*,ppm,<alias> has not reported in <days> days. ,LEE_III,Lee III Hall,CEVAC_LEE_III_IAQ_LATEST,UTCDateTime,UTCDateTime,1,0,*,<,<now> - 1 hr,alert,25
Temp_High_warning_ASC,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),ASC,Academic Success Center,CEVAC_ASC_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,>,<Cooling SP ActualValue>,warning,26
Temp_High_alert_ASC,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),ASC,Academic Success Center,CEVAC_ASC_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,>,<Cooling SP ActualValue>+3,alert,27
Temp_Low_warning_ASC,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),ASC,Academic Success Center,CEVAC_ASC_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,<,<Heating SP ActualValue>,warning,28
Temp_Low_alert_ASC,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),ASC,Academic Success Center,CEVAC_ASC_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,<,<Heating SP ActualValue> -3,alert,29
Temp_High_warning_Lee3,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),LEE_III,Lee III Hall,CEVAC_LEE_III_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,>,<Cooling SP ActualValue>,warning,30
Temp_High_alert_Lee3,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),LEE_III,Lee III Hall,CEVAC_LEE_III_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,>,<Cooling SP ActualValue>+3,alert,31
Temp_Low_warning_Lee3,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),LEE_III,Lee III Hall,CEVAC_LEE_III_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,<,<Heating SP ActualValue>,warning,32
Temp_Low_alert_Lee3,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),LEE_III,Lee III Hall,CEVAC_LEE_III_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,<,<Heating SP ActualValue> -3,alert,33
Temp_High_warning_Cooper,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,>,<Cooling SP ActualValue>,warning,34
Temp_High_alert_Cooper,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,>,<Cooling SP ActualValue>+3,alert,35
Temp_Low_warning_Cooper,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,<,<Heating SP ActualValue>,warning,36
Temp_Low_alert_Cooper,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,<,<Heating SP ActualValue> -3,alert,37
CO2_warning_ASC,IAQ,*,ppm,<alias> exceeds 1000 ppm.,ASC,Academic Success Center,CEVAC_ASC_IAQ_LATEST,ActualValue,UTCDateTime,1,1,1,>,1000,warning,38
CO2_alert_ASC,IAQ,*,ppm,<alias> exceeds 2000 ppm.,ASC,Academic Success Center,CEVAC_ASC_IAQ_LATEST,ActualValue,UTCDateTime,1,0,*,>,2000,alert,39
